Time (Sec);S1;S4;S11;S23;S14;S9;S3;S22;S10;S19;S18;S20;S15;S17;S21;S2;S13;S16;
0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;19160.0;100.0;100.0;
0.10078533333333334;99.98970879999999;99.99016639999999;99.986032;99.986032;99.996568;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.99313599999999;99.98259999999999;99.989464;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.2266666666666667;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.3266666666666667;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.42666666666666675;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.5266666666666667;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.6266666666666667;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.7266666666666667;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.8266666666666667;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
0.9266666666666666;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
1.0266666666666666;99.98970879999999;99.99016639999999;99.986032;99.986032;99.986032;99.99016639999999;99.99016639999999;99.9862608;99.9862608;99.98259999999999;99.98259999999999;99.986032;99.986032;99.9862608;99.986032;19160.0;99.97573599999998;99.97916799999999;
